source,price,title,details,location,url,beds,sqft
craigslist,2700.0,Brand New Studio Apt right in the heart of Nolita.  True Find!,"$2,700

                        Nolita / Bowery",Nolita / Bowery,https://newyork.craigslist.org/mnh/apa/d/new-york-brand-new-studio-apt-right-in/7907939821.html,,
craigslist,4750.0,Huge Chinatown 2-bdrm on Mulberry & Bayard.~ 900 sqft. Ava March 6th,"$4,750

                        Chinatown / Lit Italy",Chinatown / Lit Italy,https://newyork.craigslist.org/mnh/apa/d/new-york-huge-chinatown-bdrm-on/7907939201.html,,
craigslist,3200.0,Life just got Better! I'm excited to show this master piece !,"$3,200

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-life-just-got-better-im/7907932606.html,,
craigslist,3000.0,<^^^MASSIVE OPEN SPACE^^^TOP FLOOR^^HIGH END CONDO FINISHES^^CITY VIEW,"$3,000

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-massive-open-spacetop/7907932193.html,,
craigslist,3500.0,Balcony 2 bed 2 bath,"$3,500

                        New York",New York,https://newyork.craigslist.org/mnh/apa/d/bronx-balcony-bed-bath/7907931468.html,,
craigslist,5900.0,REMARKABLE CONDO FINISHES=TOP FLOOR=NEW CONSTRUCTION=CITY VIEW FROM EV,"$5,900

                        TriBeCa",TriBeCa,https://newyork.craigslist.org/mnh/apa/d/new-york-remarkable-condo-finishestop/7907931310.html,,
craigslist,8300.0,NO FEE! Spacious 4Bed near Gramercy,"$8,300

                        Gramercy",Gramercy,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-spacious-4bed-near/7907902573.html,,
craigslist,3300.0,RENT-STABILIZED - Sublet - Optional Furniture!,"$3,300

                        East Village",East Village,https://newyork.craigslist.org/mnh/apa/d/new-york-rent-stabilized-sublet/7907893580.html,,
craigslist,9995.0,Gorgeous 2 Bedroom + 2 Full bath Townhouse - Pvt Yard & Laundry,"$9,995

                        Upper West Side",Upper West Side,https://newyork.craigslist.org/mnh/apa/d/new-york-gorgeous-bedroom-full-bath/7907868804.html,,
craigslist,3400.0,New E 30s / 3rd Ave. One Bdrm + Ofice. Walk Up.,"$3,400

                        Murray Hill",Murray Hill,https://newyork.craigslist.org/mnh/apa/d/new-york-new-30s-3rd-ave-one-bdrm-ofice/7907868583.html,,
craigslist,3350.0,Just listed///   Bright & Cozy One Bedroom///Jan 15,"$3,350

                        East Village",East Village,https://newyork.craigslist.org/mnh/apa/d/new-york-just-listed-bright-cozy-one/7907810487.html,,
